,category,sub_category,brand,sale_price,market_price,type,rating
24539,Beverages,Energy & Soft Drinks,Red Bull,3480.0,3480.0,Sports & Energy Drinks,5.0
24540,Cleaning & Household,Bins & Bathroom Ware,BB Home,199.0,280.0,Buckets & Mugs,4.3
24541,"Bakery, Cakes & Dairy",Cakes & Pastries,Elite,30.0,30.0,Tea Cakes & Slice Cakes,3.9
24542,"Kitchen, Garden & Pets",Crockery & Cutlery,Ocean,544.0,544.0,Glassware,3.9434095831792573
24543,Beverages,Tea,3 Roses,350.0,350.0,Leaf & Dust Tea,4.3
24544,Fruits & Vegetables,Fresh Vegetables,Fresho,13.86,30.0,Cucumber & Capsicum,3.9434095831792573
24545,Beauty & Hygiene,Skin Care,Lotus Herbals,281.25,375.0,Face Care,4.2
24546,"Kitchen, Garden & Pets",Gardening,IFFCO Urban Gardens,300.0,300.0,Fertilizers & Pesticides,4.4
24547,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Saffola,199.0,220.0,Honey,3.9
24548,"Kitchen, Garden & Pets",Kitchen Accessories,Master,269.0,490.0,Choppers & Graters,3.4
24549,Beauty & Hygiene,Skin Care,StBotanica,1299.0,1299.0,Face Care,5.0
24550,Beauty & Hygiene,Fragrances & Deos,Police,1837.5,2450.0,Eau De Toilette,1.0
24551,Snacks & Branded Foods,Pickles & Chutney,Coco mama,220.0,220.0,Chutney Powder,4.2
24552,Beauty & Hygiene,Bath & Hand Wash,Chandrika ,198.78,238.0,Bathing Bars & Soaps,4.3
24553,Beauty & Hygiene,Hair Care,moha,220.0,275.0,Hair Oil & Serum,3.9434095831792573
24554,Cleaning & Household,Fresheners & Repellents,Soulflower,800.0,800.0,Air Freshener,3.9434095831792573
24555,"Kitchen, Garden & Pets",Pet Food & Accessories,Purepet,849.15,999.0,Pet Meals & Treats,3.9434095831792573
24556,"Kitchen, Garden & Pets",Steel Utensils,Joyo Steel,199.0,299.0,Steel Storage Containers,2.3
24557,Cleaning & Household,Stationery,Classmate,49.0,50.0,"Notebooks, Files, Folders",4.2
24558,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Some More,59.0,59.0,Instant Noodles,4.7
24559,Gourmet & World Food,Dairy & Cheese,Kodai Cheese,250.0,250.0,International Cheese,3.9434095831792573
24560,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",GoodDiet,79.0,109.0,"Healthy, Baked Snacks",3.9434095831792573
24561,Gourmet & World Food,Cooking & Baking Needs,Entree,76.0,80.0,"Herbs, Seasonings & Rubs",4.0
24562,Beauty & Hygiene,Health & Medicine,Moov,238.5,265.0,Everyday Medicine,4.2
24563,Snacks & Branded Foods,Ready To Cook & Eat,FarmVeda,75.0,75.0,Breakfast & Snack Mixes,4.6
24564,Fruits & Vegetables,Fresh Fruits,Fresho,145.0,181.25,"Kiwi, Melon, Citrus Fruit",3.9434095831792573
24565,Snacks & Branded Foods,Ready To Cook & Eat,MTR,90.0,90.0,Breakfast & Snack Mixes,4.1
24566,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Cookie Man,350.0,350.0,"Bakery Biscuits, Cookies",2.0
24567,Gourmet & World Food,Tinned & Processed Food,HappyChef,179.0,249.0,"Olive, Jalapeno, Gherkin",3.9434095831792573
24568,Beauty & Hygiene,Hair Care,Garnier,153.0,180.0,Hair Color,4.3
24569,Gourmet & World Food,Cooking & Baking Needs,Graminway,179.0,179.0,Flours & Pre-Mixes,4.0
24570,"Bakery, Cakes & Dairy",Gourmet Breads,Bauli,15.0,15.0,"Croissants, Bagels",3.9434095831792573
24571,Cleaning & Household,Party & Festive Needs,DP,49.0,49.0,Decorations,4.4
24572,Cleaning & Household,Pooja Needs,GIRI,100.0,100.0,"Agarbatti, Incense Sticks",4.3
24573,Cleaning & Household,Pooja Needs,Cycle,60.0,60.0,"Agarbatti, Incense Sticks",4.1
24574,Beauty & Hygiene,Fragrances & Deos,Spinz,228.01,570.0,Women's Deodorants,4.1
24575,Beauty & Hygiene,Skin Care,INATUR ,315.0,450.0,Aromatherapy,4.0
24576,Beauty & Hygiene,Feminine Hygiene,Fem,45.0,45.0,Hair Removal,4.0
24577,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,149.0,149.0,Roasted Seeds & Nuts,4.3
24578,Cleaning & Household,"Mops, Brushes & Scrubs",Raju's Cloth,79.0,79.0,Dust Cloth & Wipes,3.5
24579,Beauty & Hygiene,Health & Medicine,Durex,72.0,72.0,Sexual Wellness,3.5
24580,Cleaning & Household,"Mops, Brushes & Scrubs",Polyguards,99.0,99.0,"Mops, Wipers",3.2
24581,Cleaning & Household,Fresheners & Repellents,Good knight,172.8,192.0,Mosquito Repellent,4.0
